R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
15.578238180378248,15.594854122418447,1.0010666124017238,104144.56140812728,97766.42510812728,0.27092757910542997,3.5799748749835967,lunar_third_body_caution
15.578632959936357,15.593362993157795,1.0009455279715056,104134.60344368372,97756.46714368372,0.2709016738909566,3.5795760058299217,lunar_third_body_caution
15.578982961938031,15.592041263867694,1.0008381998980014,104125.77675533273,97747.64045533273,0.2708787116423848,3.5792224656159406,lunar_third_body_caution
15.579293265241889,15.590869661845074,1.0007430630135843,104117.95263733632,97739.81633733632,0.2708583575372953,3.5789090940095214,lunar_third_body_caution
15.579568372641058,15.589831115315336,1.000658730872949,104111.01708205683,97732.88078205683,0.27084031498974204,3.5786313205518203,lunar_third_body_caution
15.57981227620295,15.588910495244733,1.0005839748823981,104104.86905574483,97726.73275574483,0.27082432116478883,3.5783850956247996,lunar_third_body_caution
15.580028515197917,15.588094398695587,1.0005177065940414,104099.41905175567,97721.28275175567,0.270810143214765,3.5781668319416253,lunar_third_body_caution
15.580220227457389,15.587370948145049,1.0004589614641684,104094.58775037287,97716.45145037287,0.27079757479285343,3.5779733508755673,lunar_third_body_caution
15.580390194906773,15.586729617432404,1.0004068847086836,104090.30485646045,97712.16855646046,0.27078643302929356,3.577801835744791,lunar_third_body_caution
15.580540883933807,15.586161079320421,1.0003607188882904,104086.50808145688,97708.37178145688,0.2707765558830824,3.577649790827764,lunar_third_body_caution
15.580674481178164,15.585657066672194,1.000319792670083,104083.1422162951,97705.00591629511,0.2707677997302162,3.577515004262839,lunar_third_body_caution
15.580792925261662,15.585210251983625,1.0002835110345893,104080.158326904,97702.022026904,0.27076003727082204,3.5773955157345187,lunar_third_body_caution
15.58089793491948,15.584814140521955,1.0002513465924,104077.51304057297,97699.37674057297,0.27075315567266645,3.5772895878271522,lunar_third_body_caution
15.580991033940634,15.584462977899395,1.000222832036242,104075.16792871605,97697.03162871605,0.2707470549654424,3.5771956811358128,lunar_third_body_caution
15.581073573279587,15.58415166015699,1.0001975529390146,104073.08890639966,97694.95260639966,0.27074164647866716,3.5771124304990107,lunar_third_body_caution
15.581146750659867,15.583875664389799,1.0001751420337412,104071.24576904814,97693.10946904814,0.27073685163644157,3.5770386261528704,lunar_third_body_caution
15.581211627954167,15.583630983340644,1.0001552738929582,104069.61175565184,97691.47545565185,0.27073260082115463,3.576973196191824,lunar_third_body_caution
15.581269146593119,15.583414061076327,1.0001376598056955,104068.16311920424,97690.02681920424,0.27072883225599437,3.576915189664036,lunar_third_body_caution
15.581320141226335,15.583221747875603,1.0001220440008953,104066.87882543751,97688.74252543751,0.2707254912212214,3.5768637641435737,lunar_third_body_caution
15.58136535183396,15.583051255186323,1.0001081999756951,104065.74025202035,97687.60395202035,0.27072252927164503,3.576818173632166,lunar_third_body_caution
15.581405434464484,15.582900104399215,1.0000959265158087,104064.73084646219,97686.59454646219,0.27071990334667584,3.5767777554133087,lunar_third_body_caution
15.581440970754617,15.5827660960322,1.0000850451046261,104063.83592032193,97685.69962032193,0.2707175752349686,3.576741921530708,lunar_third_body_caution
15.581472476369392,15.582647292728794,1.0000753982886523,104063.04253566888,97684.90623566888,0.27071551127905535,3.5767101534477717,lunar_third_body_caution
15.581500408484946,15.582541965304694,1.0000668457332378,104062.33914477463,97684.20284477463,0.2707136814380193,3.5766819889746713,lunar_third_body_caution
